,interactor1,interactor2
8121,NP_459017.1,NP_462329.1
8122,NP_459017.1,NP_462343.1
8123,NP_459017.1,NP_459246.1
8124,NP_459017.1,NP_461471.1
8125,NP_459017.1,NP_461415.1
8126,NP_459017.1,NP_459446.1
8127,NP_459017.1,NP_461474.1
8128,NP_459017.1,NP_461018.1
8129,NP_459017.1,NP_461611.1
8130,NP_459017.1,NP_461320.1
8131,NP_459017.1,NP_459589.1
8132,NP_447926.1,NP_459017.1
8133,NP_459017.1,NP_460557.1
8134,NP_459017.1,NP_463114.1
8135,NP_459017.1,NP_462349.1
8136,NP_459017.1,NP_463015.1
8137,NP_459262.1,NP_461583.1
8138,NP_459262.1,NP_462349.1
8139,NP_459262.1,NP_463015.1
8140,NP_459262.1,NP_463121.1
8141,NP_459262.1,NP_490554.1
8142,NP_459262.1,NP_462359.1
8143,NP_459262.1,NP_462627.1
8144,NP_459262.1,NP_462336.1
8145,NP_459262.1,NP_461603.1
8146,NP_459262.1,NP_462255.1
8147,NP_459262.1,NP_463021.1
8148,NP_459262.1,NP_463019.1
8149,NP_459262.1,NP_463017.1
8150,NP_459262.1,NP_459446.1
8151,NP_459262.1,NP_460833.1
8152,NP_459262.1,NP_490553.1
8153,NP_459262.1,NP_463413.1
8154,NP_459262.1,NP_463336.3
8155,NP_459262.1,NP_460171.1
8156,NP_459262.1,NP_459638.1
8157,NP_459262.1,NP_459479.1
8158,NP_459262.1,NP_459621.1
8159,NP_459262.1,NP_460793.1
8160,NP_459262.1,NP_460947.1
8161,NP_459262.1,NP_462550.1
8162,NP_459262.1,NP_460332.1
8163,NP_459262.1,NP_462770.1
8164,NP_459262.1,NP_462349.1
8165,NP_459262.1,NP_463015.1
8166,NP_459808.1,NP_462589.1
8167,NP_459808.1,NP_462359.1
8168,NP_459808.1,NP_462345.1
8169,NP_459808.1,NP_462330.1
8170,NP_459808.1,NP_463252.1
8171,NP_459808.1,NP_462327.1
8172,NP_459808.1,NP_462333.1
8173,NP_459808.1,NP_462342.1
8174,NP_459808.1,NP_462610.1
8175,NP_459446.1,NP_459808.1
8176,NP_459808.1,NP_460600.3
8177,NP_459230.1,NP_459808.1
8178,NP_459808.1,NP_463222.1
8179,NP_459808.1,NP_462193.3
8180,NP_459479.1,NP_463330.1
8181,NP_459479.1,NP_461583.1
8182,NP_459479.1,NP_462458.1
8183,NP_459479.1,NP_463252.1
8184,NP_459479.1,NP_462336.1
8185,NP_459479.1,NP_463021.1
8186,NP_459479.1,NP_463019.1
8187,NP_459479.1,NP_463017.1
8188,NP_459479.1,NP_460833.1
8189,NP_459479.1,NP_490553.1
8190,NP_461752.1,NP_462877.1
8191,NP_460284.1,NP_462877.1
8192,NP_462062.1,NP_462877.1
8193,NP_460909.1,NP_462877.1
8194,NP_461959.1,NP_462877.1
8195,NP_462515.1,NP_462877.1
8196,NP_462166.1,NP_462877.1
8197,NP_460671.1,NP_462877.1
8198,NP_459417.1,NP_462349.1
8199,NP_459417.1,NP_463015.1
8200,NP_459417.1,NP_462807.1
8201,NP_459417.1,NP_461750.1
8202,NP_459417.1,NP_462753.1
8203,NP_459417.1,NP_462284.1
8204,NP_459417.1,NP_459446.1
8205,NP_459417.1,NP_459922.1
8206,NP_459417.1,NP_460708.1
8207,NP_459157.1,NP_459417.1
8208,NP_459417.1,NP_462349.1
8209,NP_459417.1,NP_463015.1
8210,NP_461515.1,NP_462349.1
8211,NP_461515.1,NP_463015.1
8212,NP_461515.1,NP_462327.1
8213,NP_459221.1,NP_461515.1
8214,NP_459446.1,NP_461515.1
8215,NP_461515.1,NP_462349.1
8216,NP_461515.1,NP_463015.1
8217,NP_460288.1,NP_461873.1
8218,NP_461873.1,NP_462327.1
8219,NP_460156.1,NP_461873.1
8220,NP_461873.1,NP_462195.1
8221,NP_461354.1,NP_461873.1
8222,NP_459232.1,NP_461873.1
8223,NP_459017.1,NP_461873.1
8224,NP_460041.1,NP_462349.1
8225,NP_460041.1,NP_463015.1
8226,NP_459443.1,NP_460041.1
8227,NP_460041.1,NP_463254.2
8228,NP_460041.1,NP_462322.1
8229,NP_460041.1,NP_462254.1
8230,NP_460041.1,NP_462351.1
8231,NP_460041.1,NP_462327.1
8232,NP_459221.1,NP_460041.1
8233,NP_459956.1,NP_460041.1
8234,NP_460041.1,NP_461603.1
8235,NP_460041.1,NP_462341.1
8236,NP_460041.1,NP_463019.1
8237,NP_460041.1,NP_462006.1
8238,NP_459447.1,NP_460041.1
8239,NP_460041.1,NP_463039.1
8240,NP_460041.1,NP_461607.1
8241,NP_460041.1,NP_462193.3
8242,NP_459237.1,NP_460041.1
8243,NP_460041.1,NP_462349.1
8244,NP_460041.1,NP_463015.1
8245,NP_459221.1,NP_461892.3
8246,NP_459017.1,NP_461892.3
8247,NP_459017.1,NP_460167.1
8248,NP_459232.1,NP_462349.1
8249,NP_459232.1,NP_463015.1
8250,NP_459232.1,NP_462351.1
8251,NP_459232.1,NP_462327.1
8252,NP_459232.1,NP_462320.1
8253,NP_459232.1,NP_462338.1
8254,NP_459221.1,NP_459232.1
8255,NP_459232.1,NP_459956.1
8256,NP_459232.1,NP_462339.1
8257,NP_459232.1,NP_461603.1
8258,NP_459232.1,NP_462255.1
8259,NP_459232.1,NP_463020.1
8260,NP_459232.1,NP_463255.1
8261,NP_459232.1,NP_462329.1
8262,NP_459232.1,NP_462332.1
8263,NP_459232.1,NP_462343.1
8264,NP_459232.1,NP_462344.1
8265,NP_459232.1,NP_462341.1
8266,NP_459232.1,NP_463019.1
8267,NP_459232.1,NP_459446.1
8268,NP_459232.1,NP_459671.1
8269,NP_459232.1,NP_461607.1
8270,NP_459232.1,NP_459922.1
8271,NP_459232.1,NP_462349.1
8272,NP_459232.1,NP_463015.1
8273,NP_460659.1,NP_463330.1
8274,NP_460035.1,NP_460659.1
8275,NP_460659.1,NP_462345.1
8276,NP_459956.1,NP_460659.1
8277,NP_460659.1,NP_463020.1
8278,NP_460659.1,NP_462807.1
8279,NP_460659.1,NP_462737.1
8280,NP_461607.1,NP_462349.1
8281,NP_461607.1,NP_463015.1
8282,NP_461607.1,NP_462321.1
8283,NP_461607.1,NP_462327.1
8284,NP_461607.1,NP_462320.1
8285,NP_459221.1,NP_461607.1
8286,NP_461607.1,NP_463020.1
8287,NP_461607.1,NP_462343.1
8288,NP_461607.1,NP_463019.1
8289,NP_461607.1,NP_462006.1
8290,NP_459446.1,NP_461607.1
8291,NP_459922.1,NP_461607.1
8292,NP_460708.1,NP_461607.1
8293,NP_461607.1,NP_462349.1
8294,NP_461607.1,NP_463015.1
8295,NP_459221.1,NP_462918.1
8296,NP_461956.1,NP_462918.1
8297,NP_459159.1,NP_462918.1
8298,NP_461478.1,NP_462918.1
8299,NP_459158.2,NP_462918.1
8300,NP_459157.1,NP_462918.1
8301,NP_460529.1,NP_462349.1
8302,NP_462349.1,NP_462917.1
8303,NP_460529.1,NP_463015.1
8304,NP_462917.1,NP_463015.1
8305,NP_460529.1,NP_462914.1
8306,NP_462914.1,NP_462917.1
8307,NP_459157.1,NP_460529.1
8308,NP_459157.1,NP_462917.1
8309,NP_460529.1,NP_462349.1
8310,NP_462349.1,NP_462917.1
8311,NP_460529.1,NP_463015.1
8312,NP_462917.1,NP_463015.1
8313,NP_461359.1,NP_461984.1
8314,NP_459221.1,NP_461984.1
8315,NP_461984.1,NP_463385.1
8316,NP_459679.1,NP_461984.1
8317,NP_459017.1,NP_461984.1
8318,NP_459048.1,NP_459701.1
8319,NP_459701.1,NP_463254.2
8320,NP_459701.1,NP_461606.1
8321,NP_459701.1,NP_462331.3
8322,NP_459701.1,NP_462330.1
8323,NP_459701.1,NP_462351.1
8324,NP_459701.1,NP_463252.1
8325,NP_459701.1,NP_462327.1
8326,NP_459701.1,NP_462320.1
8327,NP_459701.1,NP_462338.1
8328,NP_459701.1,NP_462628.1
8329,NP_459701.1,NP_462333.1
8330,NP_459701.1,NP_462339.1
8331,NP_459701.1,NP_462214.1
8332,NP_459701.1,NP_461603.1
8333,NP_459701.1,NP_462255.1
8334,NP_459701.1,NP_462344.1
8335,NP_459701.1,NP_462341.1
8336,NP_459158.2,NP_459701.1
8337,NP_462295.1,NP_463029.1
8338,NP_462295.1,NP_462322.1
8339,NP_462295.1,NP_462345.1
8340,NP_462295.1,NP_462327.1
8341,NP_459221.1,NP_462295.1
8342,NP_462295.1,NP_463023.1
8343,NP_462295.1,NP_462627.1
8344,NP_462295.1,NP_462342.1
8345,NP_462295.1,NP_462339.1
8346,NP_460302.1,NP_462295.1
8347,NP_461603.1,NP_462295.1
8348,NP_462255.1,NP_462295.1
8349,NP_462295.1,NP_462343.1
8350,NP_462295.1,NP_462344.1
8351,NP_459447.1,NP_462295.1
8352,NP_462295.1,NP_463039.1
8353,NP_459017.1,NP_462295.1
8354,NP_459679.1,NP_461298.1
8355,NP_459679.1,NP_461842.1
8356,NP_459446.1,NP_459679.1
8357,NP_459679.1,NP_461458.1
8358,NP_459679.1,NP_462737.1
8359,NP_459679.1,NP_459922.1
8360,NP_459679.1,NP_463238.3
8361,NP_462357.1,NP_462953.1
8362,NP_459588.1,NP_462357.1
8363,NP_459071.1,NP_462357.1
8364,NP_461131.1,NP_462357.1
8365,NP_462871.1,NP_463258.3
8366,NP_459395.1,NP_463258.3
8367,NP_460982.1,NP_463258.3
8368,NP_462968.1,NP_463258.3
8369,NP_459589.1,NP_463258.3
8370,NP_460907.1,NP_462143.1
8371,NP_460907.1,NP_462117.1
8372,NP_459779.1,NP_460907.1
8373,NP_460907.1,NP_463057.1
8374,NP_460907.1,NP_463194.1
8375,NP_460550.1,NP_463207.1
8376,NP_459940.1,NP_461307.1
8377,NP_460458.1,NP_461307.1
8378,NP_460459.1,NP_461307.1
8379,NP_459092.1,NP_462786.1
8380,NP_459092.1,NP_459765.1
8381,NP_459092.1,NP_462255.1
8382,NP_459092.1,NP_459246.1
8383,NP_459092.1,NP_463400.3
8384,NP_459123.1,NP_462349.1
8385,NP_459123.1,NP_463015.1
8386,NP_459123.1,NP_462338.1
8387,NP_459123.1,NP_462610.1
8388,NP_459123.1,NP_462349.1
8389,NP_459123.1,NP_463015.1
8390,NP_461606.1,NP_462471.1
8391,NP_462345.1,NP_462471.1
8392,NP_462254.1,NP_462471.1
8393,NP_462351.1,NP_462471.1
8394,NP_462327.1,NP_462471.1
8395,NP_459221.1,NP_462471.1
8396,NP_462336.1,NP_462471.1
8397,NP_462339.1,NP_462471.1
8398,NP_462214.1,NP_462471.1
8399,NP_462328.1,NP_462471.1
8400,NP_462337.1,NP_462471.1
8401,NP_462471.1,NP_463018.1
8402,NP_462341.1,NP_462471.1
8403,NP_462471.1,NP_462610.1
8404,NP_462471.1,NP_463194.1
8405,NP_462471.1,NP_462709.3
8406,NP_461128.1,NP_462471.1
8407,NP_459489.1,NP_462471.1
8408,NP_462349.1,NP_462471.1
8409,NP_462471.1,NP_463015.1
8410,NP_459390.1,NP_462471.1
8411,NP_462349.1,NP_462471.1
8412,NP_462471.1,NP_463015.1
8413,NP_459137.1,NP_462453.1
8414,NP_459137.1,NP_461583.1
8415,NP_459137.1,NP_462349.1
8416,NP_459137.1,NP_463015.1
8417,NP_459137.1,NP_459948.1
8418,NP_459137.1,NP_461581.1
8419,NP_459137.1,NP_462155.1
8420,NP_459137.1,NP_462359.1
8421,NP_459137.1,NP_459221.1
8422,NP_459137.1,NP_462214.1
8423,NP_459137.1,NP_460302.1
8424,NP_459137.1,NP_463021.1
8425,NP_459137.1,NP_463018.1
8426,NP_459137.1,NP_462807.1
8427,NP_459137.1,NP_463017.1
8428,NP_459137.1,NP_462284.1
8429,NP_459017.1,NP_459137.1
8430,NP_459018.1,NP_459137.1
8431,NP_459137.1,NP_463188.1
8432,NP_459137.1,NP_459157.1
8433,NP_459137.1,NP_461308.1
8434,NP_459137.1,NP_462349.1
8435,NP_459137.1,NP_463015.1
8436,NP_462208.1,NP_462349.1
8437,NP_462208.1,NP_463015.1
8438,NP_462208.1,NP_462351.1
8439,NP_462208.1,NP_462327.1
8440,NP_462208.1,NP_462320.1
8441,NP_459221.1,NP_462208.1
8442,NP_462208.1,NP_462339.1
8443,NP_462208.1,NP_463020.1
8444,NP_462208.1,NP_462343.1
8445,NP_462208.1,NP_462344.1
8446,NP_462208.1,NP_463019.1
8447,NP_459446.1,NP_462208.1
8448,NP_461607.1,NP_462208.1
8449,NP_459922.1,NP_462208.1
8450,NP_459158.2,NP_462208.1
8451,NP_462208.1,NP_462349.1
8452,NP_462208.1,NP_463015.1
8453,NP_459138.1,NP_462349.1
8454,NP_459138.1,NP_463015.1
8455,NP_459138.1,NP_459141.1
8456,NP_459138.1,NP_462345.1
8457,NP_459138.1,NP_462327.1
8458,NP_459138.1,NP_459221.1
8459,NP_459138.1,NP_462332.1
8460,NP_459138.1,NP_461750.1
8461,NP_459138.1,NP_462753.1
8462,NP_459138.1,NP_462284.1
8463,NP_459138.1,NP_462455.1
8464,NP_459138.1,NP_463095.1
8465,NP_459138.1,NP_462166.1
8466,NP_459138.1,NP_462350.1
8467,NP_459138.1,NP_459936.1
8468,NP_459017.1,NP_459138.1
8469,NP_459138.1,NP_460426.1
8470,NP_459138.1,NP_462349.1
8471,NP_459138.1,NP_463015.1
8472,NP_459157.1,NP_459936.1
8473,NP_461281.1,NP_462350.1
8474,NP_462349.1,NP_462350.1
8475,NP_462350.1,NP_463015.1
8476,NP_461040.1,NP_462350.1
8477,NP_460276.1,NP_462350.1
8478,NP_459065.1,NP_462350.1
8479,NP_459614.1,NP_462350.1
8480,NP_460310.1,NP_462350.1
8481,NP_462350.1,NP_462389.1
8482,NP_459478.1,NP_462350.1
8483,NP_462349.1,NP_462350.1
8484,NP_462350.1,NP_463015.1
8485,NP_461897.1,NP_462339.1
8486,NP_461897.1,NP_462255.1
8487,NP_461897.1,NP_463021.1
8488,NP_459159.1,NP_461897.1
8489,NP_460256.1,NP_462126.3
8490,NP_460256.1,NP_463023.1
8491,NP_460256.1,NP_463022.1
8492,NP_460256.1,NP_462319.1
8493,NP_460256.1,NP_462170.1
8494,NP_459017.1,NP_460256.1
8495,NP_460256.1,NP_462940.1
8496,NP_462172.1,NP_462349.1
8497,NP_462172.1,NP_463015.1
8498,NP_462119.1,NP_462172.1
8499,NP_462166.1,NP_462349.1
8500,NP_462166.1,NP_463015.1
8501,NP_461310.1,NP_462166.1
8502,NP_462166.1,NP_462418.1
8503,NP_459017.1,NP_462166.1
8504,NP_462166.1,NP_462349.1
8505,NP_462166.1,NP_463015.1
8506,NP_461458.1,NP_462807.1
8507,NP_459138.1,NP_461458.1
8508,NP_462743.1,NP_462773.1
8509,NP_459221.1,NP_462772.3
8510,NP_462255.1,NP_462772.3
8511,NP_459150.1,NP_462772.3
8512,NP_459159.1,NP_462772.3
8513,NP_462199.1,NP_462772.3
8514,NP_459470.1,NP_462772.3
8515,NP_461416.1,NP_462772.3
8516,NP_462301.1,NP_462772.3
8517,NP_459158.2,NP_462772.3
8518,NP_459157.1,NP_462772.3
8519,NP_461115.1,NP_462760.1
8520,NP_462760.1,NP_462871.1
8521,NP_462339.1,NP_462760.1
8522,NP_461395.1,NP_462760.1
8523,NP_459018.1,NP_462760.1
8524,NP_461748.1,NP_462760.1
8525,NP_459221.1,NP_462761.1
8526,NP_459458.1,NP_463330.1
8527,NP_461496.1,NP_463330.1
8528,NP_459443.1,NP_459458.1
8529,NP_459443.1,NP_461496.1
8530,NP_459458.1,NP_463022.1
8531,NP_461496.1,NP_463022.1
8532,NP_460398.1,NP_463194.1
8533,NP_459017.1,NP_460398.1
8534,NP_460398.1,NP_463445.1
8535,NP_461414.1,NP_462240.1
8536,NP_462240.1,NP_462241.1
8537,NP_461606.1,NP_462556.1
8538,NP_462322.1,NP_462556.1
8539,NP_462327.1,NP_462556.1
8540,NP_462338.1,NP_462556.1
8541,NP_459221.1,NP_462556.1
8542,NP_462556.1,NP_462628.1
8543,NP_462339.1,NP_462556.1
8544,NP_462214.1,NP_462556.1
8545,NP_461603.1,NP_462556.1
8546,NP_462337.1,NP_462556.1
8547,NP_462255.1,NP_462556.1
8548,NP_462329.1,NP_462556.1
8549,NP_462343.1,NP_462556.1
8550,NP_460801.1,NP_462556.1
8551,NP_459018.1,NP_462556.1
8552,NP_462349.1,NP_462556.1
8553,NP_462556.1,NP_463015.1
8554,NP_461583.1,NP_462210.1
8555,NP_460251.1,NP_462210.1
8556,NP_460299.1,NP_462210.1
8557,NP_459141.1,NP_462210.1
8558,NP_462210.1,NP_462345.1
8559,NP_462210.1,NP_462351.1
8560,NP_462210.1,NP_462327.1
8561,NP_459221.1,NP_462210.1
8562,NP_462210.1,NP_463023.1
8563,NP_462210.1,NP_463022.1
8564,NP_462210.1,NP_462319.1
8565,NP_462210.1,NP_462255.1
8566,NP_462210.1,NP_463020.1
8567,NP_462210.1,NP_462332.1
8568,NP_462210.1,NP_462343.1
8569,NP_462210.1,NP_462341.1
8570,NP_462210.1,NP_462807.1
8571,NP_462210.1,NP_462850.1
8572,NP_461446.1,NP_462210.1
8573,NP_462170.1,NP_462210.1
8574,NP_460256.1,NP_462210.1
8575,NP_459017.1,NP_462210.1
8576,NP_459445.1,NP_462210.1
8577,NP_459072.1,NP_462210.1
8578,NP_460708.1,NP_462210.1
8579,NP_459157.1,NP_462210.1
8580,NP_462210.1,NP_462349.1
8581,NP_462210.1,NP_463015.1
8582,NP_462327.1,NP_462406.1
8583,NP_459221.1,NP_462406.1
8584,NP_462406.1,NP_463023.1
8585,NP_462406.1,NP_463022.1
8586,NP_462319.1,NP_462406.1
8587,NP_462344.1,NP_462406.1
8588,NP_461611.1,NP_462349.1
8589,NP_461611.1,NP_463015.1
8590,NP_461611.1,NP_463029.1
8591,NP_460524.1,NP_461611.1
8592,NP_461611.1,NP_462351.1
8593,NP_459221.1,NP_461611.1
8594,NP_461611.1,NP_462627.1
8595,NP_461603.1,NP_461611.1
8596,NP_461611.1,NP_463021.1
8597,NP_461611.1,NP_462343.1
8598,NP_461611.1,NP_462006.1
8599,NP_460154.1,NP_461611.1
8600,NP_459589.1,NP_461611.1
8601,NP_461611.1,NP_461741.1
8602,NP_461611.1,NP_462702.1
8603,NP_461196.1,NP_461611.1
8604,NP_461611.1,NP_462718.1
8605,NP_461349.1,NP_461611.1
8606,NP_461214.1,NP_462349.1
8607,NP_461214.1,NP_463015.1
8608,NP_459221.1,NP_461214.1
8609,NP_461214.1,NP_462807.1
8610,NP_461214.1,NP_461750.1
8611,NP_461214.1,NP_462753.1
8612,NP_461214.1,NP_462284.1
8613,NP_461214.1,NP_462006.1
8614,NP_461214.1,NP_463095.1
8615,NP_459159.1,NP_461214.1
8616,NP_461214.1,NP_463042.1
8617,NP_461214.1,NP_462735.1
8618,NP_461214.1,NP_462555.1
8619,NP_459138.1,NP_461214.1
8620,NP_461214.1,NP_461607.1
8621,NP_459017.1,NP_461214.1
8622,NP_459018.1,NP_461214.1
8623,NP_459922.1,NP_461214.1
8624,NP_460426.1,NP_461214.1
8625,NP_459158.2,NP_461214.1
8626,NP_461214.1,NP_462349.1
8627,NP_461214.1,NP_463015.1
8628,NP_459143.1,NP_462735.1
8629,NP_462349.1,NP_462735.1
8630,NP_462735.1,NP_463015.1
8631,NP_459221.1,NP_462735.1
8632,NP_462342.1,NP_462735.1
8633,NP_462735.1,NP_463020.1
8634,NP_460736.1,NP_462735.1
8635,NP_462096.1,NP_462735.1
8636,NP_462006.1,NP_462735.1
8637,NP_462555.1,NP_462735.1
8638,NP_462193.3,NP_462735.1
8639,NP_462735.1,NP_463407.3
8640,NP_462349.1,NP_462735.1
8641,NP_462735.1,NP_463015.1
8642,NP_460049.1,NP_462349.1
8643,NP_460049.1,NP_463015.1
8644,NP_460049.1,NP_462962.1
8645,NP_460049.1,NP_462351.1
8646,NP_459956.1,NP_460049.1
8647,NP_460049.1,NP_462214.1
8648,NP_460049.1,NP_463021.1
8649,NP_460049.1,NP_462343.1
8650,NP_460049.1,NP_462344.1
8651,NP_460049.1,NP_461367.1
8652,NP_460049.1,NP_461985.1
8653,NP_459948.1,NP_460049.1
8654,NP_460049.1,NP_461581.1
8655,NP_460049.1,NP_462155.1
8656,NP_460049.1,NP_463194.1
8657,NP_459625.1,NP_460049.1
8658,NP_460049.1,NP_462199.1
8659,NP_460049.1,NP_461969.1
8660,NP_460049.1,NP_460256.1
8661,NP_459017.1,NP_460049.1
8662,NP_460049.1,NP_461747.1
8663,NP_460049.1,NP_462764.1
8664,NP_460049.1,NP_462289.1
8665,NP_460049.1,NP_462349.1
8666,NP_460049.1,NP_463015.1
8667,NP_459101.1,NP_459201.1
8668,NP_459101.1,NP_462327.1
8669,NP_459101.1,NP_463023.1
8670,NP_459101.1,NP_463022.1
8671,NP_459101.1,NP_462319.1
8672,NP_459101.1,NP_462344.1
8673,NP_459101.1,NP_462200.1
8674,NP_462207.1,NP_462351.1
8675,NP_462207.1,NP_462214.1
8676,NP_462207.1,NP_463021.1
8677,NP_462207.1,NP_462343.1
8678,NP_462207.1,NP_463037.1
8679,NP_462207.1,NP_463225.1
8680,NP_462117.1,NP_463222.1
8681,NP_461583.1,NP_463222.1
8682,NP_460678.1,NP_463222.1
8683,NP_460035.1,NP_463222.1
8684,NP_463222.1,NP_463229.1
8685,NP_462349.1,NP_463222.1
8686,NP_463015.1,NP_463222.1
8687,NP_459443.1,NP_463222.1
8688,NP_459400.1,NP_463222.1
8689,NP_462642.1,NP_463222.1
8690,NP_462582.1,NP_463222.1
8691,NP_459141.1,NP_463222.1
8692,NP_463222.1,NP_463254.2
8693,NP_461606.1,NP_463222.1
8694,NP_462322.1,NP_463222.1
8695,NP_462351.1,NP_463222.1
8696,NP_463222.1,NP_463252.1
8697,NP_462327.1,NP_463222.1
8698,NP_462320.1,NP_463222.1
8699,NP_462338.1,NP_463222.1
8700,NP_459221.1,NP_463222.1
8701,NP_459956.1,NP_463222.1
8702,NP_463023.1,NP_463222.1
8703,NP_463022.1,NP_463222.1
8704,NP_462319.1,NP_463222.1
8705,NP_462628.1,NP_463222.1
8706,NP_462333.1,NP_463222.1
8707,NP_462339.1,NP_463222.1
8708,NP_462214.1,NP_463222.1
8709,NP_460302.1,NP_463222.1
8710,NP_461603.1,NP_463222.1
8711,NP_462325.1,NP_463222.1
8712,NP_462255.1,NP_463222.1
8713,NP_463021.1,NP_463222.1
8714,NP_463222.1,NP_463255.1
8715,NP_462343.1,NP_463222.1
8716,NP_462344.1,NP_463222.1
8717,NP_462341.1,NP_463222.1
8718,NP_463019.1,NP_463222.1
8719,NP_460156.1,NP_463222.1
8720,NP_462807.1,NP_463222.1
8721,NP_462195.1,NP_463222.1
8722,NP_463037.1,NP_463222.1
8723,NP_459231.1,NP_463222.1
8724,NP_459446.1,NP_463222.1
8725,NP_459447.1,NP_463222.1
8726,NP_463039.1,NP_463222.1
8727,NP_459447.1,NP_463222.1
8728,NP_463039.1,NP_463222.1
8729,NP_460600.3,NP_463222.1
8730,NP_459230.1,NP_463222.1
8731,NP_461873.1,NP_463222.1
8732,NP_459017.1,NP_463222.1
8733,NP_459018.1,NP_463222.1
8734,NP_462193.3,NP_463222.1
8735,NP_461747.1,NP_463222.1
8736,NP_462280.1,NP_463222.1
8737,NP_463222.1,NP_463238.3
8738,NP_462349.1,NP_463222.1
8739,NP_463015.1,NP_463222.1
8740,NP_460305.1,NP_462320.1
8741,NP_459221.1,NP_460305.1
8742,NP_460305.1,NP_462332.1
8743,NP_460305.1,NP_462344.1
8744,NP_460305.1,NP_463019.1
8745,NP_459957.1,NP_460305.1
8746,NP_459957.1,NP_463330.1
8747,NP_459957.1,NP_462209.3
8748,NP_459957.1,NP_460468.1
8749,NP_459957.1,NP_462051.1
8750,NP_459957.1,NP_462340.1
8751,NP_459957.1,NP_462322.1
8752,NP_459957.1,NP_462330.1
8753,NP_459957.1,NP_462351.1
8754,NP_459957.1,NP_463252.1
8755,NP_459957.1,NP_462327.1
8756,NP_459957.1,NP_462320.1
8757,NP_459957.1,NP_462338.1
8758,NP_459957.1,NP_463023.1
8759,NP_459957.1,NP_462627.1
8760,NP_459957.1,NP_462336.1
8761,NP_459957.1,NP_462342.1
8762,NP_459957.1,NP_462339.1
8763,NP_459957.1,NP_462214.1
8764,NP_459957.1,NP_461603.1
8765,NP_459957.1,NP_462337.1
8766,NP_459957.1,NP_462325.1
8767,NP_459957.1,NP_462255.1
8768,NP_459957.1,NP_462332.1
8769,NP_459957.1,NP_462343.1
8770,NP_459957.1,NP_462344.1
8771,NP_459957.1,NP_462341.1
8772,NP_459957.1,NP_463019.1
8773,NP_459957.1,NP_462200.1
8774,NP_459447.1,NP_459957.1
8775,NP_459957.1,NP_463039.1
8776,NP_459447.1,NP_459957.1
8777,NP_459957.1,NP_463039.1
8778,NP_459957.1,NP_462646.1
8779,NP_459957.1,NP_462389.1
8780,NP_459230.1,NP_463229.1
8781,NP_459230.1,NP_462642.1
8782,NP_459230.1,NP_462322.1
8783,NP_459230.1,NP_462333.1
8784,NP_459230.1,NP_462339.1
8785,NP_459230.1,NP_462214.1
8786,NP_459230.1,NP_461603.1
8787,NP_459230.1,NP_462325.1
8788,NP_459230.1,NP_462255.1
8789,NP_459230.1,NP_463255.1
8790,NP_459230.1,NP_462332.1
8791,NP_459230.1,NP_461457.1
8792,NP_459230.1,NP_462555.1
8793,NP_459443.1,NP_460710.1
8794,NP_459443.1,NP_461725.1
8795,NP_460710.1,NP_461725.1
8796,NP_460710.1,NP_463121.1
8797,NP_460710.1,NP_490554.1
8798,NP_459141.1,NP_460710.1
8799,NP_459141.1,NP_461725.1
8800,NP_459221.1,NP_460710.1
8801,NP_459221.1,NP_461725.1
8802,NP_460710.1,NP_463023.1
8803,NP_461725.1,NP_463023.1
8804,NP_460710.1,NP_463022.1
8805,NP_461725.1,NP_463022.1
8806,NP_460710.1,NP_462333.1
8807,NP_461725.1,NP_462333.1
8808,NP_460710.1,NP_462339.1
8809,NP_461725.1,NP_462339.1
8810,NP_460710.1,NP_462416.1
8811,NP_460710.1,NP_462417.1
8812,NP_461725.1,NP_462417.1
8813,NP_459447.1,NP_460710.1
8814,NP_460710.1,NP_463039.1
8815,NP_461725.1,NP_463039.1
8816,NP_460424.3,NP_460710.1
8817,NP_459157.1,NP_460710.1
8818,NP_459157.1,NP_461725.1
8819,NP_459638.1,NP_461094.1
8820,NP_459638.1,NP_462338.1
8821,NP_459638.1,NP_462627.1
8822,NP_459638.1,NP_462339.1
8823,NP_459638.1,NP_462337.1
8824,NP_459638.1,NP_463021.1
8825,NP_459638.1,NP_461437.1
8826,NP_459638.1,NP_461471.1
8827,NP_459638.1,NP_462199.1
8828,NP_459638.1,NP_461611.1
8829,NP_459638.1,NP_461969.1
8830,NP_459638.1,NP_460528.1
8831,NP_459638.1,NP_462916.1
8832,NP_459017.1,NP_459638.1
8833,NP_459638.1,NP_460569.1
8834,NP_459638.1,NP_459918.1
8835,NP_459638.1,NP_462290.1
8836,NP_459638.1,NP_462289.1
8837,NP_459499.1,NP_460171.1
8838,NP_460171.1,NP_462458.1
8839,NP_459141.1,NP_460171.1
8840,NP_460171.1,NP_461606.1
8841,NP_460171.1,NP_462345.1
8842,NP_460171.1,NP_462628.1
8843,NP_460171.1,NP_463020.1
8844,NP_460171.1,NP_462344.1
8845,NP_460171.1,NP_463019.1
8846,NP_460171.1,NP_463413.1
8847,NP_459638.1,NP_460171.1
8848,NP_459479.1,NP_460171.1
8849,NP_460171.1,NP_461869.1
8850,NP_459157.1,NP_460171.1
8851,NP_462497.1,NP_463336.3
8852,NP_463119.1,NP_463336.3
8853,NP_460264.1,NP_463336.3
8854,NP_460673.1,NP_463336.3
8855,NP_463121.1,NP_463336.3
8856,NP_463336.3,NP_490554.1
